OTU ID	Consensus Lineage
1008	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1013	Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae
1021	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
1022	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
1025	Firmicutes;Clostridia;Clostridiales;Veillonellaceae;Megasphaera
1030	Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium
1033	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1036	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
1037	
1038	
1048	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micromonosporineae;Micromonosporaceae
1054	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
1055	TM7;TM7_genera_incertae_sedis
1057	Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
1062	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
1078	Proteobacteria
1085	
1090	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes
1091	Proteobacteria;Betaproteobacteria
1095	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
1100	Proteobacteria
1108	
1110	Proteobacteria
1111	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1126	
1127	Proteobacteria
1128	Cyanobacteria;Cyanobacteria;Family I;GpI
1130	Bacteroidetes;Bacteroidetes;Bacteroidales;Porphyromonadaceae;Porphyromonas
1135	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
1137	Proteobacteria;Alphaproteobacteria
1141	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
1147	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
1149	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
1150	Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Paracoccus
1154	Actinobacteria;Actinobacteria
1155	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae
1158	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium
1160	Firmicutes;Clostridia;Clostridiales
1162	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1174	
1176	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Beutenbergiaceae;Beutenbergia
1177	
1181	Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio
1185	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Hymenobacter
1187	Proteobacteria;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio
1190	OD1;OD1_genera_incertae_sedis
1192	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
1197	Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae
1204	
1220	TM7;TM7_genera_incertae_sedis
1227	
1230	Proteobacteria
1232	
1237	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
1239	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Hyphomicrobium
1243	
1246	Proteobacteria;Betaproteobacteria;Burkholderiales;Oxalobacteraceae
1248	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1250	
1256	Bacteroidetes;Bacteroidetes;Bacteroidales;Bacteroidaceae;Bacteroides
1258	
1259	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae
1261	Proteobacteria;Alphaproteobacteria;Rhizobiales
1265	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae;Rubrobacteraceae;Rubrobacter
1266	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae;Xiphinematobacteriaceae_genera_incertae_sedis
1269	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
1273	Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus
1275	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Branhamella
1283	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus
1286	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp5
1287	Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillaceae 1;Bacillus
1289	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
1292	Spirochaetes;Spirochaetes;Spirochaetales;Spirochaetaceae;Treponema
1293	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
1297	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1298	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
1302	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
1307	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Streptomycineae;Streptomycetaceae;Streptomyces
1314	Firmicutes;Clostridia;Clostridiales
1319	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium
1327	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1328	Actinobacteria;Actinobacteria
1336	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp13
1338	Actinobacteria;Actinobacteria;Rubrobacteridae;Rubrobacterales;Rubrobacterineae
1342	Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Eremococcus
1344	Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
1345	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
1347	
1349	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
1362	Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae
1366	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1375	Proteobacteria;Alphaproteobacteria;Rhizobiales
1379	Bacteroidetes;Bacteroidetes;Bacteroidales;Prevotellaceae;Prevotella
1382	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Arcobacter
1387	Bacteroidetes
1393	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1395	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Crenotrichaceae;Terrimonas
1397	Nitrospira;Nitrospira;Nitrospirales;Nitrospiraceae;Nitrospira
1411	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1417	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Friedmanniella
1418	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
1425	Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Sulfurospirillum
1431	Proteobacteria
1432	Proteobacteria
1433	Bacteroidetes
1435	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
1437	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
1444	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp2
1447	Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
1451	Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
1452	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1453	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae
1457	Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
1460	Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae
1462	Proteobacteria;Gammaproteobacteria
1464	Proteobacteria;Alphaproteobacteria
1466	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Micrococcineae;Micrococcaceae;Kocuria
1470	Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium
1482	Firmicutes;Clostridia;Clostridiales;Incertae Sedis XIII
1483	
1484	Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Xiphinematobacteriaceae;Xiphinematobacteriaceae_genera_incertae_sedis
1486	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
1487	Bacteroidetes
1493	Proteobacteria;Betaproteobacteria
1494	Firmicutes;Clostridia;Clostridiales;Incertae Sedis XI;Anaerococcus
1495	Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
1498	
1501	Proteobacteria;Alphaproteobacteria;Rhizobiales
1505	Proteobacteria;Gammaproteobacteria
1506	Root
1512	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp6
1520	Proteobacteria
1525	
1527	Bacteroidetes
1530	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp3
1533	
1535	Proteobacteria;Deltaproteobacteria;Myxococcales;Sorangineae;Polyangiaceae
1536	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales
1554	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
1557	
1562	
1566	Proteobacteria;Alphaproteobacteria;Rhizobiales
1567	Bacteroidetes;Sphingobacteria;Sphingobacteriales;Flexibacteraceae;Arcicella
1571	Firmicutes;Clostridia;Clostridiales;Veillonellaceae
1573	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp4
1575	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp5
1577	
1578	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
1580	
1582	Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria
1587	
1590	Acidobacteria;Acidobacteria;Acidobacteriales;Acidobacteriaceae;Gp1
1601	Bacteroidetes;Sphingobacteria;Sphingobacteriales
1605	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
1606	Proteobacteria
1607	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
1614	Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillaceae 1;Paenibacillus
1630	Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Rhodoplanes
1638	
1640	Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia
1646	Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Microvirgula
1649	
1652	Actinobacteria;Actinobacteria;Actinobacteridae;Actinomycetales;Propionibacterineae;Nocardioidaceae;Nocardioides
1655	Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus
